BookingID,hotel,booking_status,lead_time,arrival_year,arrival_month,arrival_date_week_number,arrival_day,no_of_weekend_nights,no_of_week_nights,no_of_adults,no_of_children,babies,type_of_meal_plan,country,market_segment_type,distribution_channel,room_type_reserved,assigned_room_type,booking_changes,deposit_type,agent,customer_type,avg_price_per_room,required_car_parking_space,no_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card,arrival_date,"Total Guests",empID
495,"Resort Hotel",0,25,2015,7,29,17,3,7,2,0,0,"Half Board",ESP,Direct,Direct,F,F,1,"No Deposit",0,Transient,194.9,0,2,Check-Out,2015-07-27,"Patricia Blevins",Blevins_Patricia81@aol.com,732-152-1317,************5205,2015-07-17,2,495
496,"Resort Hotel",0,92,2015,7,29,17,1,2,2,0,0,"Bed and Breakfass",MOZ,"Online TA",TA/TO,A,A,3,"No Deposit",240,Transient,103.5,1,3,Check-Out,2015-07-20,"Hunter Smith",Hunter.S@xfinity.com,803-117-4063,************6486,2015-07-17,2,496
497,"Resort Hotel",0,91,2015,7,29,17,1,2,2,1,0,"Bed and Breakfass",BWA,"Online TA",TA/TO,A,A,3,"No Deposit",240,Transient,118.5,0,3,Check-Out,2015-07-20,"Monique Crosby",Monique_C@outlook.com,329-251-7629,************5047,2015-07-17,3,497
498,"Resort Hotel",0,38,2015,7,29,17,1,2,2,1,0,"Half Board",PRT,"Online TA",TA/TO,E,E,1,"No Deposit",240,Transient,192,0,1,Check-Out,2015-07-20,"Cynthia Lee",CynthiaLee80@xfinity.com,459-240-2782,************1712,2015-07-17,3,498
499,"Resort Hotel",0,6,2015,7,29,17,1,2,2,0,0,"Bed and Breakfass",GBR,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",142,Contract,128.27,0,0,Check-Out,2015-07-20,"Jacob Evans",Jacob.E56@aol.com,426-205-7651,************2759,2015-07-17,2,499
500,"Resort Hotel",0,38,2015,7,29,17,1,2,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,135,0,0,Check-Out,2015-07-20,"Jennifer Brown",Jennifer.Brown@gmail.com,546-407-4553,************4288,2015-07-17,2,500
501,"Resort Hotel",0,13,2015,7,29,17,1,2,2,0,0,"Bed and Breakfass",DEU,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,126.3,0,2,Check-Out,2015-07-20,"Michael Cooper",MichaelCooper@comcast.net,901-586-3616,************7272,2015-07-17,2,501
502,"Resort Hotel",1,32,2015,7,29,17,1,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,154,0,0,Canceled,2015-06-24,"Tony Bush",Tony.Bush@protonmail.com,952-624-6492,************3077,2015-07-17,2,502
503,"Resort Hotel",0,315,2015,7,29,17,1,2,2,0,0,"Bed and Breakfass",IRL,"Offline TA/TO",TA/TO,A,D,0,"No Deposit",171,Transient,96.3,0,0,Check-Out,2015-07-20,"Joshua Kidd",Joshua_K@att.com,633-694-9073,************4769,2015-07-17,2,503
504,"Resort Hotel",0,8,2015,7,29,17,1,2,2,0,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,A,D,0,"No Deposit",240,Transient,126.3,0,2,Check-Out,2015-07-20,"Jamie Hernandez",Hernandez_Jamie@xfinity.com,191-595-2844,************5140,2015-07-17,2,504
505,"Resort Hotel",1,0,2015,7,29,17,0,1,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,L,C,0,"No Deposit",0,Transient,136,0,0,Canceled,2015-07-17,"Rodney Conner",Rodney_C89@verizon.com,917-447-5322,************8021,2015-07-17,2,505
506,"Resort Hotel",0,91,2015,7,29,17,1,2,2,1,0,"Bed and Breakfass",MOZ,"Online TA",TA/TO,A,A,4,"No Deposit",240,Transient,118.5,0,3,Check-Out,2015-07-20,"Marcus Smith",MarcusSmith@verizon.com,716-719-3813,************1928,2015-07-17,3,506
507,"Resort Hotel",0,3,2015,7,29,17,1,2,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,A,C,0,"No Deposit",240,Transient,116.33,1,1,Check-Out,2015-07-20,"Maria Mathews",Maria.Mathews@xfinity.com,378-841-6181,************7569,2015-07-17,2,507
508,"Resort Hotel",0,9,2015,7,29,17,2,2,3,0,0,"Bed and Breakfass",PRT,Direct,Direct,A,A,0,"No Deposit",0,Transient,164,0,1,Check-Out,2015-07-21,"Sarah Ramirez",Ramirez_Sarah91@yandex.com,625-640-0396,************5553,2015-07-17,3,508
509,"Resort Hotel",0,19,2015,7,29,18,2,1,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,D,F,0,"No Deposit",240,Transient,147.67,0,2,Check-Out,2015-07-21,"Jessica Cooper",Cooper_Jessica93@gmail.com,529-640-4850,************8733,2015-07-18,2,509
510,"Resort Hotel",0,25,2015,7,29,18,2,4,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,E,E,0,"No Deposit",250,Transient,145,0,0,Check-Out,2015-07-24,"William Sullivan",William_Sullivan@zoho.com,797-919-5202,************3501,2015-07-18,2,510
511,"Resort Hotel",0,108,2015,7,29,18,2,4,2,1,0,"Half Board",LUX,"Online TA",TA/TO,A,A,1,"No Deposit",240,Transient,147,1,2,Check-Out,2015-07-24,"Michael Myers",Michael.M@protonmail.com,518-132-2673,************5844,2015-07-18,3,511
512,"Resort Hotel",1,37,2015,7,29,18,2,4,2,2,0,"Half Board",PRT,"Online TA",TA/TO,C,C,0,"No Deposit",242,Transient,168.3,0,0,Canceled,2015-07-18,"Charles Wallace",CharlesWallace@mail.com,858-030-1199,************4581,2015-07-18,4,512
513,"Resort Hotel",0,45,2015,7,29,18,2,5,2,0,0,"Half Board",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,167,0,0,Check-Out,2015-07-25,"Katie Caldwell MD",MD_Katie94@comcast.net,583-151-2764,************4827,2015-07-18,2,513
514,"Resort Hotel",0,64,2015,7,29,18,2,5,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,E,E,0,"No Deposit",0,Transient,137.75,1,1,Check-Out,2015-07-25,"Melinda Vaughn",Vaughn_Melinda@mail.com,377-173-2317,************5735,2015-07-18,2,514
515,"Resort Hotel",0,44,2015,7,29,18,2,2,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,E,E,1,"No Deposit",250,Transient,145,0,0,Check-Out,2015-07-22,"Ryan Hernandez",Ryan.H@aol.com,891-867-4548,************4463,2015-07-18,2,515
516,"Resort Hotel",0,26,2015,7,29,18,2,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,132.6,1,0,Check-Out,2015-07-22,"Kaitlyn Price",Kaitlyn.P@verizon.com,691-398-3353,************1475,2015-07-18,2,516
517,"Resort Hotel",1,96,2015,7,29,18,2,2,2,0,0,"Half Board",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,147,0,0,Canceled,2015-04-29,"Ian Ruiz",Ruiz_Ian33@aol.com,609-232-7724,************4407,2015-07-18,2,517
518,"Resort Hotel",1,123,2015,7,29,18,2,2,2,0,1,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,E,1,"No Deposit",240,Transient,157,0,2,Canceled,2015-04-06,"Kristen Johnson",Kristen.Johnson90@aol.com,370-321-0168,************6702,2015-07-18,2,518
519,"Resort Hotel",1,42,2015,7,29,18,2,3,2,2,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,H,H,0,"No Deposit",240,Transient,210,0,0,Canceled,2015-11-06,"Raymond Brandt",Brandt.Raymond@mail.com,319-878-4862,************8566,2015-07-18,4,519
520,"Resort Hotel",0,59,2015,7,29,18,2,3,2,0,0,"Bed and Breakfass",PRT,"Offline TA/TO",TA/TO,E,E,0,"No Deposit",8,Contract,132.5,0,0,Check-Out,2015-07-23,"Cindy Ali",Cindy_A@aol.com,724-926-3351,************9304,2015-07-18,2,520
521,"Resort Hotel",0,28,2015,7,29,18,2,3,2,0,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,A,A,0,"No Deposit",241,Transient,98.02,0,1,Check-Out,2015-07-23,"Anthony Dean",Anthony.D@yahoo.com,344-669-7638,************4903,2015-07-18,2,521
522,"Resort Hotel",0,106,2015,7,29,18,2,3,2,1,1,"Bed and Breakfass",PRT,Direct,Direct,C,C,0,"No Deposit",0,Transient,126,0,2,Check-Out,2015-07-23,"Crystal Wright",Crystal_W@protonmail.com,998-795-3167,************5459,2015-07-18,3,522
523,"Resort Hotel",0,1,2015,7,29,18,0,1,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,D,D,0,"No Deposit",0,Transient,173,0,1,Check-Out,2015-07-19,"Margaret Hernandez",Hernandez.Margaret@comcast.net,625-354-9636,************9281,2015-07-18,2,523
524,"Resort Hotel",0,0,2015,7,29,18,0,1,2,2,0,"Full Board",PRT,Direct,Direct,C,C,0,"No Deposit",0,Transient,249,0,0,Check-Out,2015-07-19,"Brian Shepherd",Shepherd.Brian56@hotmail.com,383-899-7976,************4300,2015-07-18,4,524
525,"Resort Hotel",0,4,2015,7,29,18,1,1,1,2,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,G,G,0,"No Deposit",240,Transient,186.5,0,0,Check-Out,2015-07-20,"James Burton",James.Burton@gmail.com,118-901-2079,************3694,2015-07-18,3,525
526,"Resort Hotel",0,3,2015,7,29,18,2,1,1,0,0,"Bed and Breakfass",CN,Direct,Direct,D,E,0,"No Deposit",0,Transient,95,0,1,Check-Out,2015-07-21,"Bruce Rollins",Bruce.R@outlook.com,479-820-9227,************5155,2015-07-18,1,526
527,"Resort Hotel",0,73,2015,7,29,18,2,5,2,1,0,"Full Board",PRT,Direct,Direct,D,D,0,"No Deposit",0,Transient,241.5,0,2,Check-Out,2015-07-25,"Anne Franklin",AnneFranklin@zoho.com,556-488-1764,************4474,2015-07-18,3,527
528,"Resort Hotel",0,44,2015,7,29,18,2,5,2,0,0,"Half Board",ESP,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,177,1,0,Check-Out,2015-07-25,"Janet Cooke",Janet.Cooke96@zoho.com,626-569-8510,************6279,2015-07-18,2,528
529,"Resort Hotel",0,95,2015,7,29,18,2,5,2,0,0,"Full Board",PRT,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",5,Transient,153.73,1,0,Check-Out,2015-07-25,"Patrick Thompson",PatrickThompson@aol.com,453-274-8585,************9425,2015-07-18,2,529
530,"Resort Hotel",0,94,2015,7,29,18,2,5,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,A,D,0,"No Deposit",250,Transient,115,0,1,Check-Out,2015-07-25,"Amy Harrington",Amy_Harrington@yandex.com,162-240-2695,************6776,2015-07-18,2,530
531,"Resort Hotel",1,40,2015,7,29,18,2,5,2,0,0,"Half Board",PRT,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",196,Transient,127.03,0,2,Canceled,2015-06-24,"Stacy Smith",Smith.Stacy@mail.com,209-301-0118,************2322,2015-07-18,2,531
532,"Resort Hotel",0,64,2015,7,29,18,2,5,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,D,D,0,"No Deposit",0,Transient,128.25,0,1,Check-Out,2015-07-25,"Jessica Davis",JessicaDavis@hotmail.com,627-126-9246,************3344,2015-07-18,2,532
533,"Resort Hotel",0,64,2015,7,29,18,2,5,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,D,D,0,"No Deposit",0,Transient,128.25,0,1,Check-Out,2015-07-25,"Dr. Nicole Ortiz",Dr._O@xfinity.com,241-653-0641,************1294,2015-07-18,2,533
534,"Resort Hotel",0,94,2015,7,29,18,2,5,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,A,D,0,"No Deposit",250,Transient,115,0,1,Check-Out,2015-07-25,"Tyler Martin",TMartin@protonmail.com,126-563-7308,************9557,2015-07-18,2,534
535,"Resort Hotel",0,57,2015,7,29,18,2,6,2,0,0,"Half Board",ESP,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",196,Transient,135,0,1,Check-Out,2015-07-26,"Phillip Delacruz",PDelacruz@mail.com,408-998-6954,************5554,2015-07-18,2,535
536,"Resort Hotel",1,60,2015,7,29,18,2,6,2,0,0,"Half Board",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,167,0,0,Canceled,2015-01-06,"Alex Edwards",AEdwards@xfinity.com,297-422-3112,************1842,2015-07-18,2,536
537,"Resort Hotel",0,57,2015,7,29,18,2,6,2,0,0,"Half Board",ESP,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",196,Transient,135,0,1,Check-Out,2015-07-26,"Katherine Olson",Olson.Katherine@yahoo.com,251-750-1008,************1554,2015-07-18,2,537
538,"Resort Hotel",0,87,2015,7,29,18,4,10,2,0,0,"Bed and Breakfass",IRL,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,124.5,0,0,Check-Out,2015-01-08,"Danielle Newman",DNewman68@verizon.com,810-001-1489,************5353,2015-07-18,2,538
539,"Resort Hotel",0,0,2015,7,30,19,1,0,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,A,A,0,"No Deposit",0,Transient,98,0,0,Check-Out,2015-07-20,"James Benson",James_B@hotmail.com,771-197-3340,************8450,2015-07-19,2,539
540,"Resort Hotel",0,0,2015,7,30,19,1,0,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Group,98,1,0,Check-Out,2015-07-20,"Bonnie Kent",Bonnie.K46@xfinity.com,594-593-5721,************1342,2015-07-19,2,540
541,"Resort Hotel",0,6,2015,7,30,19,1,0,2,0,0,"Bed and Breakfass",NLD,Direct,Direct,D,D,0,"No Deposit",250,Transient,135,0,0,Check-Out,2015-07-20,"James Butler",James_B@hotmail.com,691-035-4597,************7249,2015-07-19,2,541
542,"Resort Hotel",0,0,2015,7,30,19,1,0,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",0,Group,88.2,0,0,Check-Out,2015-07-20,"Anne Alvarez",Anne_A@comcast.net,514-458-1755,************6603,2015-07-19,2,542
543,"Resort Hotel",0,19,2015,7,30,19,1,0,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,120.6,1,1,Check-Out,2015-07-20,"Leslie Robinson",Leslie.Robinson@comcast.net,695-481-7019,************6115,2015-07-19,2,543
544,"Resort Hotel",0,4,2015,7,30,19,2,0,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,154.5,1,2,Check-Out,2015-07-21,"Michelle Wade",Wade_Michelle@att.com,716-387-8620,************4508,2015-07-19,2,544
545,"Resort Hotel",1,59,2015,7,30,19,2,1,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,145,0,0,Canceled,2015-05-23,"Mr. Gregory Gillespie MD",Mr._M@protonmail.com,208-492-1413,************3265,2015-07-19,2,545
546,"Resort Hotel",0,44,2015,7,30,19,2,2,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,A,A,0,"No Deposit",0,Transient,92,0,0,Check-Out,2015-07-23,"Catherine Johnson",Catherine.Johnson67@xfinity.com,631-470-2691,************1288,2015-07-19,2,546
547,"Resort Hotel",1,37,2015,7,30,19,2,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,154,0,0,Canceled,2015-06-29,"Jessica Reese",Jessica.R@xfinity.com,871-933-4457,************2154,2015-07-19,2,547
548,"Resort Hotel",0,66,2015,7,30,19,2,3,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,A,A,0,"No Deposit",0,Transient,115,0,1,Check-Out,2015-07-24,"Courtney Owens",Courtney.Owens99@xfinity.com,863-518-9871,************8717,2015-07-19,2,548
549,"Resort Hotel",1,38,2015,7,30,19,2,4,1,0,0,"Bed and Breakfass",PRT,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",5,Transient,110.53,0,0,Canceled,2015-06-19,"Matthew Wolfe",Wolfe.Matthew@gmail.com,761-954-3775,************3386,2015-07-19,1,549
550,"Resort Hotel",1,62,2015,7,30,19,2,5,2,0,0,"Half Board",PRT,"Offline TA/TO",TA/TO,E,E,0,"No Deposit",261,Transient,158.5,0,1,Canceled,2015-06-17,"Ronald Lynch",Lynch.Ronald@hotmail.com,846-286-4469,************8246,2015-07-19,2,550
551,"Resort Hotel",0,41,2015,7,30,19,2,5,2,2,0,"Half Board",ESP,"Online TA",TA/TO,C,C,0,"No Deposit",241,Transient,131.37,0,1,Check-Out,2015-07-26,"Heather Lee",Heather_Lee@zoho.com,286-684-8412,************9448,2015-07-19,4,551
552,"Resort Hotel",1,60,2015,7,30,19,2,5,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,117.71,0,0,Canceled,2015-05-27,"Clarence Kemp",ClarenceKemp@xfinity.com,289-137-4970,************1267,2015-07-19,2,552
553,"Resort Hotel",0,104,2015,7,30,19,2,5,2,0,0,"Bed and Breakfass",GBR,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",115,Contract,123,0,1,Check-Out,2015-07-26,"Eric Nelson",Eric.N@yandex.com,823-450-1026,************2025,2015-07-19,2,553
554,"Resort Hotel",1,62,2015,7,30,19,2,5,2,0,0,"Half Board",PRT,"Offline TA/TO",TA/TO,E,E,0,"No Deposit",261,Transient,158.5,0,1,Canceled,2015-06-17,"Renee Mayo",Mayo_Renee@protonmail.com,320-685-5388,************9584,2015-07-19,2,554
555,"Resort Hotel",0,117,2015,7,30,19,2,5,2,0,0,"Bed and Breakfass",RUS,"Online TA",TA/TO,A,A,1,"No Deposit",240,Transient,117.84,0,2,Check-Out,2015-07-26,"Crystal Berry",Berry_Crystal@aol.com,819-187-7303,************7558,2015-07-19,2,555
556,"Resort Hotel",1,31,2015,7,30,19,2,5,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,154,0,0,Canceled,2015-06-19,"Reginald Powell",Powell_Reginald@att.com,659-110-3894,************7434,2015-07-19,2,556
557,"Resort Hotel",0,34,2015,7,30,19,2,5,2,0,0,"Bed and Breakfass",IRL,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",156,Transient,116.85,0,0,Check-Out,2015-07-26,"Gabrielle Morgan",GMorgan48@mail.com,818-551-1239,************1870,2015-07-19,2,557
558,"Resort Hotel",0,47,2015,7,30,19,2,4,2,1,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",241,Transient,129.16,0,1,Check-Out,2015-07-25,"Jessica Roberts",Jessica_Roberts@protonmail.com,583-041-1261,************4456,2015-07-19,3,558
559,"Resort Hotel",1,24,2015,7,30,19,2,4,2,2,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,G,G,0,"No Deposit",240,Transient,214,0,0,Canceled,2015-06-29,"Jennifer Underwood",JenniferUnderwood16@xfinity.com,128-935-8484,************2491,2015-07-19,4,559
560,"Resort Hotel",1,104,2015,7,30,19,2,4,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,115,0,2,Canceled,2015-02-07,"Kenneth Lang",KennethLang@aol.com,440-932-6990,************7375,2015-07-19,2,560
561,"Resort Hotel",0,104,2015,7,30,19,2,5,2,0,0,"Bed and Breakfass",GBR,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",115,Contract,123,0,1,Check-Out,2015-07-26,"Carmen Fisher",CarmenFisher@protonmail.com,147-908-6539,************9277,2015-07-19,2,561
562,"Resort Hotel",0,32,2015,7,30,19,2,5,2,0,0,"Bed and Breakfass",IRL,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",156,Transient,123,0,0,Check-Out,2015-07-26,"Virginia Ferguson",Virginia.F@outlook.com,834-138-2793,************9140,2015-07-19,2,562
563,"Resort Hotel",1,47,2015,7,30,19,3,5,2,2,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,G,G,0,"No Deposit",240,Transient,195,0,0,Canceled,2015-07-14,"Michelle Riddle",Michelle.Riddle@outlook.com,307-699-4793,************4121,2015-07-19,4,563
564,"Resort Hotel",0,29,2015,7,30,19,4,6,2,0,0,"Bed and Breakfass",GBR,"Offline TA/TO",TA/TO,C,C,0,"No Deposit",142,Contract,135.2,0,0,Check-Out,2015-07-29,"Michael Nunez",Nunez_Michael78@gmail.com,689-215-1695,************3607,2015-07-19,2,564
565,"Resort Hotel",0,30,2015,7,30,19,4,10,2,0,0,"Bed and Breakfass",GBR,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",243,Transient,123,0,2,Check-Out,2015-02-08,"Jeremy Wood",Jeremy.Wood@xfinity.com,173-294-2904,************8790,2015-07-19,2,565
566,"Resort Hotel",0,123,2015,7,30,19,2,4,2,0,1,"Bed and Breakfass",ESP,"Online TA",TA/TO,E,E,2,"No Deposit",240,Transient,130.5,0,1,Check-Out,2015-07-25,"Richard Vaughn",Vaughn_Richard@mail.com,973-864-8098,************8790,2015-07-19,2,566
567,"Resort Hotel",0,14,2015,7,30,20,1,0,1,0,0,"Bed and Breakfass",PRT,"Offline TA/TO",TA/TO,A,C,0,"No Deposit",104,Transient,123,0,0,Check-Out,2015-07-21,"Monica Trevino",Trevino_Monica@verizon.com,148-159-8385,************2767,2015-07-20,1,567
568,"Resort Hotel",1,118,2015,7,30,20,1,2,2,2,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,G,G,0,"No Deposit",240,Transient,179.1,0,2,Canceled,2015-05-13,"Amanda Trevino",Amanda.Trevino@att.com,968-267-5487,************5972,2015-07-20,4,568
569,"Resort Hotel",0,0,2015,7,30,20,0,0,1,0,0,"Bed and Breakfass",PRT,"Offline TA/TO",TA/TO,A,I,0,"No Deposit",5,Transient,0,0,0,Check-Out,2015-07-20,"Nicole Craig",NCraig@aol.com,537-639-4542,************4568,2015-07-20,1,569
570,"Resort Hotel",0,0,2015,7,30,20,0,0,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,I,0,"No Deposit",241,Transient,0,0,1,Check-Out,2015-07-20,"Gabriella Bailey",Gabriella_Bailey@comcast.net,285-081-4654,************5766,2015-07-20,2,570
571,"Resort Hotel",0,79,2015,7,30,20,1,3,2,0,1,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,C,0,"No Deposit",240,Transient,115,0,3,Check-Out,2015-07-24,"Ellen Holmes",Holmes_Ellen@comcast.net,400-374-4060,************1791,2015-07-20,2,571
572,"Resort Hotel",0,63,2015,7,30,20,1,3,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,D,0,"No Deposit",240,Transient,115,0,0,Check-Out,2015-07-24,"Stacey Morris",Morris.Stacey@zoho.com,820-125-7822,************4922,2015-07-20,2,572
573,"Resort Hotel",0,68,2015,7,30,20,1,3,2,0,0,"Bed and Breakfass",POL,"Online TA",TA/TO,A,C,3,"No Deposit",240,Transient,103.5,1,2,Check-Out,2015-07-24,"Amanda Jackson",Amanda_Jackson@mail.com,458-676-2210,************3583,2015-07-20,2,573
574,"Resort Hotel",0,96,2015,7,30,20,1,3,2,0,0,"Half Board",PRT,Direct,Direct,A,A,0,"No Deposit",250,Transient,157,1,0,Check-Out,2015-07-24,"David Gibson",David.G47@yahoo.com,949-745-3957,************3869,2015-07-20,2,574
575,"Resort Hotel",1,41,2015,7,30,20,1,3,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,135,0,1,Canceled,2015-06-15,"Dawn King",Dawn_K@gmail.com,656-423-6720,************5950,2015-07-20,2,575
576,"Resort Hotel",0,46,2015,7,30,20,1,3,2,0,0,"Bed and Breakfass",NOR,"Online TA",TA/TO,E,E,0,"No Deposit",241,Transient,111.65,0,0,Check-Out,2015-07-24,"James Trevino",Trevino_James31@zoho.com,556-583-5902,************9584,2015-07-20,2,576
577,"Resort Hotel",1,41,2015,7,30,20,1,3,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,135,0,1,Canceled,2015-06-15,"Nathan Hurst",NHurst@zoho.com,837-243-7189,************3111,2015-07-20,2,577
578,"Resort Hotel",1,60,2015,7,30,20,1,4,2,2,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,G,G,0,"No Deposit",240,Transient,195,0,0,Canceled,2015-06-17,"Kelly Ross",KellyRoss@gmail.com,254-893-9298,************3188,2015-07-20,4,578
579,"Resort Hotel",0,41,2015,7,30,20,1,4,2,0,0,"Bed and Breakfass",ESP,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",175,Transient,104,0,0,Check-Out,2015-07-25,"Ronnie Smith",Ronnie_S@att.com,398-593-0178,************8593,2015-07-20,2,579
580,"Resort Hotel",1,69,2015,7,30,20,1,4,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,135,0,0,Canceled,2015-08-06,"William Johnson",William_Johnson78@yahoo.com,385-339-8343,************8057,2015-07-20,2,580
581,"Resort Hotel",1,41,2015,7,30,20,1,5,2,2,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,G,G,0,"No Deposit",240,Transient,214,0,1,Canceled,2015-06-22,"Jesus Martin",Martin.Jesus92@gmail.com,410-605-3632,************6634,2015-07-20,4,581
582,"Resort Hotel",0,52,2015,7,30,20,1,5,2,0,0,"Half Board",PRT,Direct,Direct,A,D,0,"No Deposit",250,Transient,133.17,0,0,Check-Out,2015-07-26,"Angela Powell",Angela.Powell@hotmail.com,288-523-4889,************9527,2015-07-20,2,582
583,"Resort Hotel",1,41,2015,7,30,20,1,5,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,1,"No Deposit",240,Transient,141.33,0,1,Canceled,2015-06-22,"Sheila King",King.Sheila15@mail.com,140-889-7382,************2179,2015-07-20,2,583
584,"Resort Hotel",0,89,2015,7,30,20,2,5,2,0,0,"Bed and Breakfass",GBR,"Offline TA/TO",TA/TO,E,E,0,"No Deposit",241,Transient,121.01,0,1,Check-Out,2015-07-27,"Jessica Mccarthy",JessicaMccarthy@zoho.com,696-910-1260,************2519,2015-07-20,2,584
585,"Resort Hotel",1,28,2015,7,30,20,2,5,2,1,0,"Full Board",PRT,Direct,Direct,F,F,0,"No Deposit",0,Transient,240.64,0,0,Canceled,2015-07-20,"Michael Chen",Michael_C58@verizon.com,685-074-0863,************8546,2015-07-20,3,585
586,"Resort Hotel",0,65,2015,7,30,20,2,5,2,2,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,C,C,0,"No Deposit",105,Transient,167.5,0,0,Check-Out,2015-07-27,"Victoria Mitchell",VMitchell68@comcast.net,127-620-0874,************4561,2015-07-20,4,586
587,"Resort Hotel",0,82,2015,7,30,20,2,5,2,0,1,"Half Board",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,152.43,0,3,Check-Out,2015-07-27,"Jerome Anderson",Jerome_Anderson@outlook.com,514-329-2140,************8014,2015-07-20,2,587
588,"Resort Hotel",0,42,2015,7,30,20,2,5,2,0,0,"Full Board",ESP,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",175,Transient,148.34,0,0,Check-Out,2015-07-27,"Matthew Spencer",Spencer_Matthew@comcast.net,222-490-3538,************7280,2015-07-20,2,588
589,"Resort Hotel",0,62,2015,7,30,20,2,5,2,0,0,"Half Board",ESP,"Online TA",TA/TO,D,D,1,"No Deposit",240,Transient,167,0,1,Check-Out,2015-07-27,"Rebecca Montgomery",Montgomery_Rebecca@outlook.com,941-822-8560,************3133,2015-07-20,2,589
